Rank,PlayerPlayerId,PlayerShortName,PlayerAgeExact,PassAttemptsPerGame,PassingYards,CompletionPercentage,PassingTouchdowns,Interceptions,MoneyThrows,TouchdownRate,ProtectionRate,PressuredCompletionPercentage,AirYards,AirYardsPerGame,AirYardsPerAttempt,DeepBallAttempts,DeepBallCompletionPercentage
1,19801,J. Allen,25.3,35.8,4546,69.2,37,10,36,6.5,84.1,43,2764,172.8,4.8,69,44.9
2,20889,K. Murray,24.1,34.9,3971,67.2,26,12,24,4.7,87.7,32.8,2255,140.9,4,70,40
3,2593,A. Rodgers,37.7,32.8,4292,70.7,48,5,30,9.1,88.9,43.1,2021,126.3,3.8,72,44.4
4,18890,P. Mahomes,25.9,39.3,4737,66.2,38,6,39,6.5,83.9,43.1,2584,172.3,4.4,69,37.7
5,18857,D. Watson,25.9,34,4801,70.2,33,7,29,6.1,81.4,39.7,2887,180.4,5.3,61,50.8
6,14536,R. Wilson,32.7,34.9,4212,68.8,40,13,33,7.2,89.2,47.6,2425,151.6,4.3,65,35.4
7,4314,T. Brady,44.1,38.1,4616,65.7,40,12,46,6.6,87.9,33.7,2923,182.7,4.8,93,39.8
8,13799,R. Tannehill,33.1,30.1,3817,65.5,34,7,21,7.1,82.5,36,2301,143.8,4.8,36,33.3
9,19781,L. Jackson,24.6,25.1,2757,64.4,26,9,19,6.9,85.6,36.3,1635,109,4.3,46,37
10,21681,J. Herbert,23.5,39.7,4336,66.6,31,10,31,5.2,79,46.8,2091,139.4,3.5,65,38.5
11,14252,K. Cousins,33,32.3,4265,67.7,35,13,25,6.8,78.1,42.4,2386,149.1,4.6,58,41.4
12,732,M. Ryan,36.3,39.1,4581,65,26,11,26,4.2,82.2,40.2,2963,185.2,4.7,76,40.8
13,16311,D. Carr,30.4,32.3,4102,67.3,27,9,29,5.2,86.4,39.3,2176,136,4.2,65,44.6
14,3807,B. Roethlisberger,39.5,40.5,3784,65.6,33,10,26,5.4,91.6,48.3,1881,125.4,3.1,72,27.8
15,13320,C. Newton,32.3,24.5,2657,65.8,8,10,8,2.2,82.1,48.3,1393,92.9,3.8,26,53.8
16,9038,M. Stafford,33.5,33,4084,64.2,26,10,14,4.9,77.8,15.9,2363,147.7,4.5,61,42.6
17,19790,B. Mayfield,26.4,30.4,3560,62.8,26,8,39,5.3,80.7,41.4,2298,143.6,4.7,58,46.6
18,17922,J. Goff,26.9,36.8,3942,67,20,13,14,3.6,86.7,38,1841,122.7,3.3,48,27.1
19,16497,T. Bridgewater,28.8,32.9,3725,69,15,11,17,3,89.6,36,1879,125.3,3.8,55,43.6
20,8244,P. Rivers,39.7,34,4169,68,24,11,18,4.4,91,48.1,1957,122.3,3.6,51,45.1
21,7242,D. Brees,42.6,32.5,2942,70.5,24,6,13,6.2,88.4,36,1440,120,3.7,18,44.4
22,17920,C. Wentz,28.7,36.5,2616,57.3,16,15,22,3.7,82,32,1628,135.7,3.7,57,31.6
23,20859,D. Lock,24.8,34.1,2933,57.3,16,15,10,3.6,80.6,32.6,1543,118.7,3.5,63,27
24,20841,D. Jones,24.2,32.1,2935,62.4,11,10,19,2.4,85.8,33.3,1855,132.5,4.1,39,46.2
25,21693,J. Burrow,24.7,40.4,2688,65.3,13,5,11,3.2,82.5,25,1592,159.2,3.9,45,20
26,20880,G. Minshew II,25.3,36.3,2259,66.1,16,5,13,4.9,81.2,43.1,1244,138.2,3.8,39,41
27,18811,M. Trubisky,27,29.7,2055,67,16,8,9,5.4,85.9,48.7,1108,110.8,3.7,30,26.7
28,8283,R. Fitzpatrick,38.8,29.7,2091,68.5,13,8,7,4.9,86.2,60,1291,143.4,4.8,23,56.5
29,12841,A. Dalton,33.8,30.3,2169,64.9,14,8,10,4.2,83.4,38.3,1159,105.4,3.5,28,28.6
30,19812,S. Darnold,24.2,30.3,2208,59.6,9,11,13,2.5,74.1,34.4,1067,88.9,2.9,37,27
31,21677,T. Tagovailoa,23.5,29,1814,64.1,11,5,10,3.8,83.2,43.2,1071,107.1,3.7,33,36.4
32,19330,N. Mullens,26.4,32.6,2434,64.7,12,12,4,3.7,92.1,51.4,1182,118.2,3.6,20,65
33,13723,N. Foles,32.6,34.7,1852,64.7,10,8,13,3.2,84.1,32.8,1237,137.4,4,40,42.5
34,6739,A. Smith,37.3,31.5,1582,66.7,6,8,2,2.4,82.4,27.5,656,82,2.6,25,36
35,20795,D. Haskins,24.3,34.4,1439,61.4,5,7,2,2.1,90,42.6,621,88.7,2.6,24,16.7
