Rank,PlayerPlayerId,PlayerShortName,PlayerAgeExact,Carries,RushingYards,YardsPerCarry,RushingTouchdowns,Targets,Receptions,ReceivingYards,ReceivingTDs,SnapShare,OpportunityShare,ShotgunCarryRate,ShotgunYardsPerCarry,UnderCenterCarryRate,UnderCenterYardsPerCarry,AverageDefendersInTheBox,StackedFrontCarryRate,BaseFrontCarryRate,LightFrontCarryRate
1,18878,A. Kamara,26.1,187,937,5,16,107,83,756,5,66,60,26.2,5.5,73.8,4.8,7,25.1,41.2,34.2
2,18872,D. Cook,26,312,1557,5,16,54,44,361,1,75.4,77.2,17.3,4.5,83.7,5,7.2,30.4,45.8,24.7
3,17959,D. Henry,27.6,378,2027,5.4,17,31,19,114,0,66.8,78.5,13.2,4.3,87,5.5,7.1,31.7,43.9,24.3
4,20882,D. Montgomery,24.2,247,1070,4.3,8,68,54,438,2,76.2,73.9,44.1,5.3,56.3,3.6,6.9,19,43.7,37.7
5,19045,A. Jones,26.7,201,1104,5.5,9,62,46,347,2,61.5,60.5,36.8,6.3,63.2,5,6.8,24.9,33.8,40.8
6,21682,J. Taylor,22.6,232,1169,5,11,41,36,299,1,50.3,52.9,47,5.9,53,4.3,6.9,22,43.1,34.9
7,21970,J. Robinson,23,240,1070,4.5,7,60,49,344,3,74.3,85.2,29.2,6.5,71.7,3.6,6.7,17.1,39.6,43.8
8,20824,J. Jacobs,23.5,273,1064,3.9,12,45,33,238,0,62.9,67.2,33.7,4.3,66.3,3.7,7,29.7,32.6,37.4
9,17923,E. Elliott,26.1,244,979,4,6,73,52,338,2,74.9,72,34,3.9,66,4,6.5,12.7,40.2,46.3
10,18944,K. Hunt,26.1,198,841,4.2,6,51,38,304,5,51.8,48.7,13.1,4.6,86.9,4.2,7.1,31.8,45.5,22.2
11,19798,N. Chubb,25.7,190,1065,5.6,12,18,16,150,0,49.8,51.1,12.6,4,87.4,5.8,7.1,28.9,48.9,21.1
12,16887,M. Davis,28.5,165,642,3.9,6,70,59,373,2,66.5,64.2,21.2,3.7,78.8,4,7.1,37.6,36.4,25.5
