Rank,PlayerPlayerId,PlayerShortName,Carries,RushingYards,YardsPerCarry,RushingTouchdowns,Targets,Receptions,ReceivingYards,ReceivingTDs,JukeRate,EvadedTackles,YardsCreated,YardsCreatedPerGame,YardsCreatedPerCarry,BreakawayRuns,BreakawayRunRate,FantasyPointsPerAttempt,FantasyPointsPerTarget,FantasyPointsPerOpportunity,Drops,DropRate
1,18878,A. Kamara,187,937,5,16,107,83,756,5,32.2,87,321,21.4,1.19,11,5.9,2.02,3.54,1.29,11,10.3
2,18872,D. Cook,312,1557,5,16,54,44,361,1,29.8,106,660,47.1,1.85,10,3.2,1.06,6.14,0.91,3,5.6
3,17959,D. Henry,378,2027,5.4,17,31,19,114,0,28.2,112,997,62.3,2.51,21,5.6,0.88,10.68,0.81,1,3.2
4,20882,D. Montgomery,247,1070,4.3,8,68,54,438,2,20.3,61,449,29.9,1.49,6,2.4,1.06,3.86,0.83,3,4.4
5,19045,A. Jones,201,1104,5.5,9,62,46,347,2,22.3,55,354,25.3,1.43,8,4,1.28,4.15,0.98,4,6.5
6,21682,J. Taylor,232,1169,5,11,41,36,299,1,23.9,64,305,20.3,1.14,14,6,1.09,6.17,0.93,0,0
7,21970,J. Robinson,240,1070,4.5,7,60,49,344,3,27.3,79,423,30.2,1.46,7,2.9,1.04,4.14,0.83,3,5
8,20824,J. Jacobs,273,1064,3.9,12,45,33,238,0,27.5,84,446,29.7,1.46,9,3.3,0.85,5.14,0.73,2,4.4
9,17923,E. Elliott,244,979,4,6,73,52,338,2,23.3,69,332,22.1,1.12,4,1.6,0.91,3.04,0.7,6,8.2
10,18944,K. Hunt,198,841,4.2,6,51,38,304,5,31.4,74,404,25.3,1.71,6,3,1.1,4.28,0.88,5,9.8
11,19798,N. Chubb,190,1065,5.6,12,18,16,150,0,37.9,78,648,54,3.15,14,7.4,1.09,11.53,1,0,0
12,16887,M. Davis,165,642,3.9,6,70,59,373,2,32.1,72,288,20.6,1.29,4,2.4,1.25,2.95,0.88,1,1.4
13,21861,A. Gibson,170,795,4.7,11,44,36,247,0,28.2,58,309,22.1,1.5,8,4.7,1.19,4.6,0.94,4,9.1
14,16776,M. Gordon III,215,986,4.6,9,44,32,158,1,23.9,59,317,21.1,1.28,9,4.2,0.92,4.51,0.77,1,2.3
15,18003,K. Drake,239,955,4,10,31,25,137,0,12.5,33,173,11.5,0.66,7,2.9,0.8,6.2,0.71,2,6.5
16,19912,N. Hines,89,380,4.3,3,77,64,482,4,16.3,25,94,5.9,0.61,3,3.4,2.16,2.5,1.16,3,3.9
17,18464,J. McKissic,85,365,4.3,1,110,80,589,2,16.4,27,66,4.1,0.4,2,2.4,2.25,1.74,0.98,2,1.8
18,21684,D. Swift,114,521,4.6,8,57,46,357,2,11.9,19,194,14.9,1.21,6,5.3,1.66,3.33,1.11,7,12.3
19,19119,C. Carson,141,681,4.8,5,46,37,287,4,22.5,40,183,15.3,1.03,5,3.5,1.33,4.08,1,4,8.7
20,19861,R. Jones II,192,978,5.1,7,42,28,165,1,20.5,45,375,26.8,1.71,8,4.2,0.97,4.44,0.8,6,14.3
21,16847,D. Johnson,147,691,4.7,6,46,33,314,2,18.3,33,236,19.7,1.31,9,6.1,1.22,3.9,0.93,3,6.5
22,21769,C. Edwards-Helaire,181,803,4.4,4,55,36,297,1,22.1,48,304,23.4,1.4,8,4.4,0.97,3.2,0.75,4,7.3
23,19919,C. Edmonds,97,448,4.6,1,68,53,402,4,16,24,136,8.5,0.91,5,5.2,1.73,2.47,1.02,2,2.9
24,20933,M. Sanders,164,871,5.3,6,52,28,197,0,24,46,320,26.7,1.67,5,3,1.02,3.21,0.77,8,15.4
25,19562,A. Ekeler,116,530,4.6,1,65,54,403,2,24.1,41,189,18.9,1.11,2,1.7,1.42,2.54,0.91,2,3.1
26,18983,J. Conner,169,720,4.3,6,43,35,215,0,25.5,52,270,20.8,1.32,9,5.3,0.97,3.83,0.78,4,9.3
27,21674,J. Dobbins,134,805,6,9,24,18,120,0,30.9,47,331,22.1,2.18,11,8.2,1.23,6.85,1.04,4,16.7
28,20768,M. Gaskin,142,584,4.1,3,47,41,388,2,27.3,50,223,22.3,1.22,3,2.1,1.16,3.49,0.87,4,8.5
29,16771,T. Gurley II,195,678,3.5,9,34,25,164,0,17.3,38,225,15,1.02,4,2.1,0.84,4.8,0.71,2,5.9
30,14916,G. Bernard,124,416,3.4,3,59,47,355,3,11.1,19,82,5.1,0.48,0,0,1.28,2.68,0.86,4,6.8
31,20941,D. Singletary,156,686,4.4,2,52,38,269,0,21.6,42,323,20.2,1.67,8,5.1,0.92,2.76,0.69,2,3.8
32,20360,J. Wilson Jr.,126,603,4.8,7,28,13,133,3,14.4,20,134,12.2,0.96,7,5.6,1.13,5.09,0.93,4,14.3
33,18996,W. Gallman II,147,682,4.6,6,27,21,114,0,26.2,44,204,14.6,1.21,7,4.8,0.93,5.06,0.79,1,3.7
34,15071,L. Murray,146,656,4.5,4,26,23,176,1,12.4,21,144,9.6,0.85,5,3.4,0.93,5.24,0.79,2,7.7
35,18803,L. Fournette,97,367,3.8,6,47,36,233,0,15.8,21,130,10.8,0.98,4,4.1,1.36,2.81,0.92,5,10.6
36,20798,D. Henderson Jr.,138,626,4.5,5,24,16,155,1,16.2,25,179,11.9,1.16,6,4.3,0.94,5.42,0.8,0,0
37,20239,G. Edwards,144,724,5,6,14,9,129,0,18.3,28,203,12.7,1.33,9,6.2,0.89,9.16,0.81,0,0
38,16510,J. McKinnon,81,319,3.9,5,46,33,253,1,17.5,20,139,9.9,1.22,4,4.9,1.56,2.74,0.99,1,2.2
39,4807,A. Peterson,156,604,3.9,7,18,12,101,0,17.9,30,262,16.4,1.56,6,3.8,0.8,6.92,0.72,2,11.1
40,18995,J. Williams,119,505,4.2,2,35,31,236,1,14.7,22,128,9.1,0.85,4,3.4,1.03,3.52,0.8,2,5.7
41,20912,T. Pollard,101,435,4.3,4,40,28,192,1,24.8,32,198,12.4,1.54,5,5,1.2,3.02,0.86,3,7.5
42,16056,J. White,35,121,3.5,2,62,49,375,1,9.5,8,36,2.6,0.43,0,0,3.33,1.88,1.2,2,3.2
