Rank,PlayerID,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsPPR,FantasyPointSnapPercentagePPR
1,22205,Antonio Williams,BUF,RB,1,28,28,43.8,42.9,3.6,46.4,46.4,21.3,76.1
2,20103,Reggie Bonnafon,CAR,RB,2,23,11.5,18,52.2,8.7,60.9,60.9,16.7,72.6
3,18998,Marlon Mack,IND,RB,1,11,11,14.9,36.4,27.3,63.6,63.6,8.6,78.2
4,19798,Nick Chubb,CLE,RB,12,410,34.2,49.4,46.3,4.4,50.2,50.7,207.7,50.7
5,17179,Taylor Heinicke,WAS,QB,1,25,25,11.7,12,0,88,88,11.68,46.7
6,20874,Trace McSorley,BAL,QB,2,20,10,2.4,25,0,75,75,9.3,46.5
7,18878,Alvin Kamara,NO,RB,15,658,43.9,61.2,28.4,16.3,41,44.7,377.8,57.4
8,17959,Derrick Henry,TEN,RB,16,704,44,65.7,53.7,4.4,56.4,58.1,333.1,47.3
9,18872,Dalvin Cook,MIN,RB,14,669,47.8,61.8,46.6,8.1,53.2,54.7,337.8,50.5
10,18877,Christian McCaffrey,CAR,RB,3,171,57,25.4,34.5,11.1,44.4,45.6,90.4,52.9
11,21682,Jonathan Taylor,IND,RB,15,511,34.1,46.8,45.4,7.6,52.4,53,252.8,49.5
12,20360,Jeff Wilson Jr.,SF,RB,11,311,28.3,34.7,40.5,9,44.7,49.5,142.3,45.8
13,21861,Antonio Gibson,WAS,RB,14,406,29,37.2,41.9,10.8,50.7,52.7,202.2,49.8
14,16763,Marcus Mariota,LV,QB,1,65,65,8.8,13.8,0,56.9,56.9,25.84,39.8
15,19045,Aaron Jones,GB,RB,14,539,38.5,51.8,37.3,11.7,46,49,258.9,48
16,18088,Alex Collins,SEA,RB,3,52,17.3,26.4,34.6,3.8,36.5,38.5,21.1,40.6
17,19801,Josh Allen,BUF,QB,16,1035,64.7,95.1,9.9,0.1,65.2,65.2,396.06,38.3
18,18857,Deshaun Watson,HOU,QB,16,979,61.2,99.9,9.2,0,64.8,64.8,369.32,37.7
18,19828,Sony Michel,NE,RB,9,181,20.1,24.7,43.6,5,47.5,48.6,75.3,41.6
20,2593,Aaron Rodgers,GB,QB,16,1018,63.6,97.9,3.7,0.1,55.5,55.5,383.26,37.6
21,19119,Chris Carson,SEA,RB,12,403,33.6,37.8,35,11.4,44.2,46.4,187.8,46.6
21,18055,Dak Prescott,DAL,QB,5,360,72,93.8,5,0.3,66.9,66.9,135.64,37.7
23,18890,Patrick Mahomes,KC,QB,15,1027,68.5,93.2,6,0.2,63.3,63.5,374.4,36.5
24,19781,Lamar Jackson,BAL,QB,15,917,61.1,89.3,17.3,0,58.3,58.3,332.78,36.3
25,16797,T.J. Yeldon,BUF,RB,3,42,14,3.9,23.8,9.5,26.2,33.3,16.2,38.6
26,21684,D'Andre Swift,DET,RB,13,398,30.6,37.9,28.6,14.3,40.2,43,189.8,47.7
27,4807,Adrian Peterson,DET,RB,16,316,19.8,30.1,49.4,5.7,53.2,55.1,124.5,39.4
28,17217,Raheem Mostert,SF,RB,8,237,29.6,33.5,43.9,8,50.6,51.9,99.7,42.1
29,19861,Ronald Jones II,TB,RB,14,451,32.2,42,42.6,9.3,48.8,51.9,186.3,41.3
30,14536,Russell Wilson,SEA,QB,16,1047,65.4,98.3,7.9,0,61.2,61.2,359.78,34.4
30,20239,Gus Edwards,BAL,RB,16,347,21.7,33.8,41.5,3.7,44.1,45.2,128.2,36.9
30,20790,Damien Harris,NE,RB,10,251,25.1,33.9,54.6,2.8,56.6,57.4,91.3,36.4
33,20889,Kyler Murray,ARI,QB,16,1103,68.9,97.5,12.1,0,62.6,62.6,378.74,34.3
34,14269,Alfred Morris,NYG,RB,9,111,12.3,19,49.5,3.6,52.3,53.2,40.7,36.7
35,19912,Nyheim Hines,IND,RB,16,391,24.4,35.8,22.8,19.4,38.9,42.2,193.2,49.4
36,4314,Tom Brady,TB,QB,16,1025,64.1,95.4,2.9,0,62.4,62.4,337.92,33
36,21674,J.K. Dobbins,BAL,RB,15,456,30.4,44.4,29.4,5.3,33.3,34.6,168.5,37
38,18944,Kareem Hunt,CLE,RB,16,548,34.2,51.6,36.1,9.3,43.1,45.4,218.5,39.9
39,20798,Darrell Henderson Jr.,LAR,RB,15,348,23.2,33.2,39.7,6.9,44.3,46.6,130.3,37.4
40,13799,Ryan Tannehill,TEN,QB,16,1051,65.7,98,4.1,0.1,50,50,344.36,32.8
41,21831,Jalen Hurts,PHI,QB,15,334,22.3,29.6,18.9,0.3,63.5,63.5,109.44,32.8
42,20868,Alexander Mattison,MIN,RB,13,229,17.6,21.2,41.9,6.6,47.6,48.5,86.9,37.9
43,20824,Josh Jacobs,LV,RB,15,616,41.1,56.9,44.3,7.3,49.7,51.6,231.3,37.5
44,2405,Chad Henne,KC,QB,3,75,25,6.8,9.3,0,60,60,23.72,31.6
45,19238,Taysom Hill,NO,QB,16,472,29.5,43.9,18.4,2.8,45.8,46.8,156.62,33.2
46,16470,Davante Adams,GB,WR,14,775,55.4,74.5,0,19.1,14.8,19.1,358.4,46.2
46,21970,James Robinson,JAX,RB,14,641,45.8,61.8,37.4,9.4,45.1,46.8,250.4,39.1
48,12982,Blaine Gabbert,TB,QB,4,49,12.2,4.6,18.4,0,51,51,15.32,31.3
49,15071,Latavius Murray,NO,RB,15,364,24.3,33.8,40.1,7.1,46.4,47.3,136.2,37.4
50,8283,Ryan Fitzpatrick,MIA,QB,9,496,55.1,46.4,6,0.2,60.1,60.1,153.74,31
51,14917,Rex Burkhead,NE,RB,10,269,26.9,40.6,24.9,12.3,34.2,37.2,107.6,40
52,21688,Cam Akers,LAR,RB,13,297,22.8,26.5,48.8,4.7,52.5,53.5,101.8,34.3
