PlayerID,PlayerName,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,TargetsPerSnapLast3,TargetsPerGameLast3,ReceptionsLast3,TotalTargetsLast3,TargetsPerSnap,TargetsPerGame,TotalReceptions,TotalTargets
16906,Stefon Diggs,9,13,6,7,16,8,11,9,12,10,null,9,10,14,13,11,8,20.77922077922078,10.666666666666666,27,32,17.202072538860104,10.375,127,166
14986,DeAndre Hopkins,16,9,12,9,7,8,12,null,3,12,8,7,13,11,11,12,10,17.5531914893617,11,21,33,15.32567049808429,10,115,160
16263,Allen Robinson II,9,9,13,10,16,9,4,7,9,9,null,13,7,13,5,13,5,12.994350282485875,7.666666666666667,16,23,16.575192096597146,9.4375,102,151
16470,Davante Adams,17,3,null,null,null,10,16,11,12,12,8,9,12,10,10,12,6,18.91891891891892,9.333333333333334,24,28,19.096774193548388,10.571428571428571,115,148
15076,Keenan Allen,8,10,19,11,2,null,13,12,11,7,19,10,11,11,3,null,null,12.5,3,1,3,16.819221967963387,10.5,100,147
15048,Travis Kelce,6,14,7,7,12,7,3,12,12,null,10,8,12,10,12,13,null,18.65671641791045,12.5,15,25,16.129032258064516,9.666666666666666,105,145
16964,Darren Waller,8,16,4,11,7,null,9,6,10,5,7,7,17,10,12,6,10,14.583333333333334,9.333333333333334,23,28,14.616935483870968,9.0625,107,145
21077,Diontae Johnson,10,13,2,null,1,null,15,3,10,11,16,13,12,7,13,14,4,18.562874251497007,10.333333333333334,19,31,19.645293315143245,9.6,88,144
19802,Calvin Ridley,12,10,13,5,10,7,7,4,null,null,9,9,10,12,14,9,12,19.774011299435028,11.666666666666666,23,35,17.39659367396594,9.533333333333333,90,143
18187,Robby Anderson,8,10,5,11,12,5,8,8,13,6,9,7,null,12,5,10,7,14.102564102564102,7.333333333333333,12,22,16.915422885572138,8.5,95,136
18082,Tyreek Hill,6,11,6,6,6,3,10,6,18,null,14,15,11,7,10,6,null,12.598425196850394,8,10,16,14.983351831298558,9,87,135
20873,Terry McLaurin,7,10,8,14,7,12,11,null,8,9,7,9,6,6,12,null,8,15.503875968992247,10,14,20,14.105263157894736,8.933333333333334,87,134
16830,Tyler Lockett,8,8,13,4,5,null,20,5,7,9,9,4,9,5,7,5,14,15.384615384615385,8.666666666666666,19,26,13.983050847457626,8.25,100,132
16765,Amari Cooper,14,9,12,16,4,10,7,5,6,null,7,8,9,5,3,6,9,10.227272727272727,6,12,18,13.785790031813361,8.125,92,130
14871,Robert Woods,8,5,6,7,5,10,5,8,null,6,15,12,11,8,7,9,7,11.917098445595855,7.666666666666667,14,23,12.9,8.0625,90,129
20875,DK Metcalf,8,6,8,6,11,null,5,15,9,4,5,13,8,8,6,8,9,13.609467455621301,7.666666666666667,14,23,13.16326530612245,8.0625,83,129
18883,JuJu Smith-Schuster,6,8,5,null,5,4,14,8,7,13,5,9,10,7,6,13,8,15.168539325842696,9,18,27,13.867822318526544,8,97,128
21685,Justin Jefferson,3,3,9,5,5,11,null,4,4,10,5,13,12,8,11,10,12,17.5531914893617,11,23,33,14.108352144469526,7.8125,88,125
18882,Cooper Kupp,5,6,10,7,8,9,6,20,null,7,13,5,9,5,5,9,null,12.962962962962964,7,13,14,14.726840855106888,8.266666666666667,92,124
16568,Brandin Cooks,5,8,5,3,12,9,9,null,9,8,5,5,8,null,7,10,16,18.53932584269663,11,24,33,14.83790523690773,7.933333333333334,81,119
19844,DJ Moore,9,13,4,6,5,11,5,6,3,7,11,9,null,null,8,10,11,17.791411042944784,9.666666666666666,16,29,14.131736526946108,7.866666666666666,66,118
13870,Marvin Jones Jr.,8,6,3,2,null,5,6,7,4,10,6,12,12,8,12,3,11,16.149068322981368,8.666666666666666,21,26,12.208067940552016,7.1875,76,115
21692,Jerry Jeudy,8,7,9,4,null,5,4,10,14,8,8,1,4,4,5,15,7,14.917127071823204,9,12,27,14.037267080745341,7.0625,52,113
21679,CeeDee Lamb,6,9,7,7,11,11,5,5,7,null,6,7,9,2,7,5,7,14.615384615384615,6.333333333333333,13,19,15.205479452054794,6.9375,74,111
16656,Logan Thomas,8,9,7,4,4,4,4,null,6,5,5,4,9,7,16,12,6,15.88785046728972,11.333333333333334,23,34,10.901883052527255,6.875,72,110
17986,Tyler Boyd,5,8,13,8,6,8,13,7,null,8,11,6,4,9,1,null,3,7.6923076923076925,2,1,4,14.745308310991957,7.333333333333333,79,110
18464,J.D. McKissic,5,0,4,8,8,6,2,null,14,15,4,2,10,4,10,10,8,19.047619047619047,9.333333333333334,22,28,17.160686427457097,6.875,80,110
20006,Russell Gage,12,9,3,3,5,4,7,3,6,null,12,5,8,7,10,5,11,14.285714285714286,8.666666666666666,18,26,14.435695538057743,6.875,72,110
16597,Mike Evans,4,10,4,8,9,2,2,7,6,11,9,9,null,5,7,12,4,17.96875,7.666666666666667,19,23,12.718786464410735,6.8125,70,109
18912,Evan Engram,7,8,5,10,2,3,9,10,10,3,null,9,8,4,7,10,4,15.328467153284672,7,13,21,13.022700119474313,6.8125,63,109
21752,Chase Claypool,2,3,4,null,11,4,1,9,13,10,8,9,4,6,8,6,11,18.939393939393938,8.333333333333334,12,25,15.751445086705202,6.8125,62,109
15534,Adam Thielen,8,8,5,10,13,5,null,4,5,7,11,null,11,4,3,9,5,8.673469387755102,5.666666666666667,14,17,11.663066954643629,7.2,74,108
21690,Tee Higgins,0,6,9,7,8,8,5,9,null,9,10,5,8,8,6,9,1,13.008130081300813,5.333333333333333,9,16,13.416149068322982,6.75,67,108
14141,Cole Beasley,7,6,7,4,6,7,12,2,3,13,null,4,11,10,10,5,null,18.75,7.5,11,15,15.735294117647058,7.133333333333334,82,107
18878,Alvin Kamara,8,9,14,4,10,null,8,13,6,8,1,2,3,10,6,5,null,12.941176470588236,5.5,6,11,16.26139817629179,7.133333333333334,83,107
21042,A.J. Brown,8,null,null,null,9,7,8,7,9,4,7,6,7,9,6,8,11,15.337423312883436,8.333333333333334,19,25,13.96574440052701,7.571428571428571,70,106
19867,Michael Gallup,5,5,9,5,4,6,2,12,7,null,5,8,11,6,4,8,8,11.494252873563218,6.666666666666667,13,20,10.468594217347956,6.5625,59,105
12845,A.J. Green,9,13,6,5,1,11,13,5,null,5,9,3,1,7,3,7,6,11.347517730496454,5.333333333333333,6,16,12.682926829268293,6.5,47,104
16775,DeVante Parker,4,8,5,12,3,8,null,2,7,7,9,14,8,2,null,null,14,18.42105263157895,14,7,14,14.18732782369146,7.357142857142857,63,103
16020,Jarvis Landry,6,3,4,6,9,5,6,11,null,5,2,11,10,9,8,null,6,15.384615384615385,7,12,14,14.449213161659513,6.733333333333333,72,101
20805,T.J. Hockenson,5,4,7,4,null,5,6,10,8,4,7,8,9,11,4,6,3,9.489051094890511,4.333333333333333,9,13,13.168187744458931,6.3125,67,101
21045,Marquise Brown,6,6,6,8,10,6,null,2,5,7,3,8,8,6,7,4,8,13.768115942028986,6.333333333333333,15,19,12.468827930174564,6.25,58,100
21961,Darnell Mooney,3,3,5,9,5,5,7,6,11,2,null,9,6,2,5,7,13,16.556291390728475,8.333333333333334,19,25,12.548015364916774,6.125,61,98
18928,Curtis Samuel,8,2,4,4,5,null,6,5,9,5,10,5,null,9,9,5,11,17.857142857142858,8.333333333333334,16,25,14.74164133738602,6.466666666666667,77,97
20943,Darius Slayton,9,6,7,7,11,4,4,9,1,7,null,2,1,8,9,8,4,13.72549019607843,7,8,21,11.060433295324971,6.0625,50,97
21747,Brandon Aiyuk,null,3,8,5,6,3,7,10,null,14,null,null,9,16,13,2,null,11.363636363636363,7.5,10,15,13.186813186813186,8,60,96
14005,T.Y. Hilton,9,5,3,5,10,5,null,2,null,5,6,5,11,7,6,7,7,15.873015873015873,6.666666666666667,10,20,13.517441860465116,6.2,56,93
17975,Hunter Henry,8,8,7,4,8,null,7,4,7,6,7,10,2,8,7,null,null,11.864406779661017,7,5,7,10.18619934282585,6.642857142857143,60,93
19816,DJ Chark Jr.,3,4,null,9,4,14,7,null,12,5,8,null,7,9,5,6,null,12.222222222222221,5.5,8,11,13.247863247863247,7.153846153846154,53,93
20753,Noah Fant,6,5,10,6,null,null,7,9,3,7,5,2,7,0,11,9,6,14.444444444444445,8.666666666666666,18,26,12.704918032786885,6.2,62,93
18879,Corey Davis,8,5,6,null,null,null,10,10,3,6,7,3,12,3,6,2,11,12.101910828025478,6.333333333333333,9,19,12.813370473537605,6.571428571428571,65,92
16451,Eric Ebron,2,5,7,null,6,4,8,5,6,6,7,11,11,5,1,7,null,12.307692307692308,4,5,8,11.879895561357703,6.066666666666666,56,91
17961,Sterling Shepard,6,4,null,null,null,null,8,10,8,6,null,8,6,5,7,12,10,19.594594594594593,9.666666666666666,21,29,16.0427807486631,7.5,66,90
19920,Dalton Schultz,4,10,6,8,3,5,4,8,7,null,6,5,4,3,2,4,10,8.16326530612245,5.333333333333333,12,16,9.165808444902163,5.5625,63,89
16866,Jamison Crowder,13,null,null,10,10,13,null,null,2,null,3,5,7,4,8,9,4,13.636363636363637,7,17,21,14.839797639123104,7.333333333333333,59,88
19514,Keelan Cole,5,7,6,5,6,9,2,null,2,7,5,6,2,12,2,5,7,10.9375,4.666666666666667,8,14,11.210191082802547,5.5,55,88
19843,Hayden Hurst,5,8,3,6,6,4,7,7,8,null,2,8,4,3,5,6,6,12.5,5.666666666666667,13,17,11.210191082802547,5.5,56,88
19803,Mark Andrews,6,3,8,3,9,4,null,6,5,9,7,null,null,6,5,10,7,18.181818181818183,7.333333333333333,15,22,14.74036850921273,6.285714285714286,58,88
18914,Mike Williams,9,4,1,null,8,null,3,8,7,5,7,5,9,0,2,10,7,16.10169491525424,6.333333333333333,12,19,10.638297872340425,5.666666666666667,48,85
19853,Mike Gesicki,5,11,3,3,6,2,null,2,4,5,5,5,11,6,null,7,10,15.596330275229358,8.5,9,17,13.687600644122384,5.666666666666667,53,85
18880,Chris Godwin,7,null,6,null,null,7,9,null,6,6,10,9,null,3,5,9,7,12.352941176470589,7,14,21,12.444444444444445,7,65,84
11063,Emmanuel Sanders,5,3,5,9,14,null,null,null,5,1,5,1,6,5,5,5,13,19.491525423728813,7.666666666666667,17,23,14.669051878354203,5.857142857142857,61,82
16781,Nelson Agholor,1,1,3,4,2,null,9,2,3,4,9,6,11,9,8,6,4,11.464968152866241,6,10,18,11.21751025991792,5.125,48,82
19017,Josh Reynolds,1,2,5,4,4,5,8,9,null,10,6,6,1,2,2,10,6,12.162162162162161,6,12,18,10.08717310087173,5.0625,52,81
20876,Jakobi Meyers,0,1,0,null,null,null,6,10,14,7,3,6,6,5,10,6,7,13.69047619047619,7.666666666666667,17,23,12.180451127819548,5.785714285714286,59,81
19207,Tim Patrick,5,5,4,7,null,8,4,null,9,6,8,2,4,5,4,4,4,8.695652173913043,4,8,12,10.533333333333333,5.266666666666667,51,79
19705,Greg Ward,7,1,11,7,5,3,6,5,null,6,4,3,5,5,5,3,3,6.962025316455696,3.6666666666666665,7,11,9.987357774968395,4.9375,53,79
19815,Christian Kirk,5,4,null,5,7,3,8,null,8,6,6,6,3,4,4,10,null,11.11111111111111,7,10,14,10.115236875800257,5.642857142857143,48,79
21697,Laviska Shenault Jr.,4,4,6,6,8,7,3,null,1,null,null,4,3,11,6,7,9,16.176470588235293,7.333333333333333,16,22,13.504273504273504,5.642857142857143,58,79
10974,Rob Gronkowski,3,1,7,3,6,8,8,4,6,3,6,7,null,2,7,2,4,9.285714285714286,4.333333333333333,7,13,9.517923362175525,4.8125,45,77
17141,Damiere Byrd,0,9,3,10,null,4,2,4,9,0,7,8,3,8,4,3,3,6.993006993006993,3.3333333333333335,5,10,8.546059933407324,4.8125,47,77
20924,Hunter Renfrow,2,3,9,8,2,null,6,4,3,2,2,9,6,7,2,5,7,13.592233009708737,4.666666666666667,9,14,14,4.8125,56,77
11488,Jimmy Graham,7,1,10,5,5,8,6,7,6,2,null,4,1,4,3,5,2,10.309278350515465,3.3333333333333335,8,10,11.949685534591195,4.75,50,76
19864,Anthony Miller,6,3,5,5,4,3,5,11,8,7,null,6,5,2,1,3,2,7.0588235294117645,2,5,6,13.013698630136986,4.75,49,76
19912,Nyheim Hines,8,1,5,3,4,6,null,5,3,6,4,10,3,4,3,4,7,24.56140350877193,4.666666666666667,12,14,19.437340153452684,4.75,63,76
17916,William Fuller V,10,0,5,7,8,11,6,null,5,8,8,7,null,null,null,null,null,null,null,0,0,12.998266897746968,6.818181818181818,53,75
19318,Kendrick Bourne,5,5,6,6,4,3,1,10,null,5,null,5,6,7,4,1,6,9.565217391304348,3.6666666666666665,10,11,10.755813953488373,4.933333333333334,49,74
14856,Zach Ertz,7,7,10,5,6,10,null,null,null,null,null,null,4,3,7,7,6,10.81081081081081,6.666666666666667,8,20,11.35646687697161,6.545454545454546,36,72
5571,Larry Fitzgerald,5,7,3,3,7,4,8,null,5,5,10,null,null,3,4,8,null,10.256410256410257,6,9,12,9.664429530201343,5.538461538461538,54,72
17923,Ezekiel Elliott,4,7,11,8,2,10,2,2,3,null,2,3,6,3,null,4,4,9.523809523809524,4,7,8,9.021601016518424,4.733333333333333,52,71
19172,Zach Pascal,3,4,4,8,2,7,null,6,6,5,3,4,1,2,6,6,4,9.75609756097561,5.333333333333333,10,16,8.513189448441247,4.4375,44,71
16887,Mike Davis,0,8,9,6,10,3,5,2,6,5,2,6,null,6,2,0,null,2.5641025641025643,1,2,2,12.048192771084338,4.666666666666667,59,70
17963,Austin Hooper,2,4,4,7,10,6,null,null,null,2,5,2,2,null,6,15,5,16.774193548387096,8.666666666666666,16,26,10.23391812865497,5.384615384615385,46,70
9906,Danny Amendola,7,7,4,3,null,2,4,4,10,3,null,null,5,7,4,7,2,15.853658536585366,4.333333333333333,9,13,14.935064935064934,4.928571428571429,46,69
13291,Julio Jones,12,4,null,4,null,10,9,10,7,null,2,null,10,null,null,null,null,null,null,0,0,14.52991452991453,7.555555555555555,51,68
20882,David Montgomery,3,3,3,6,8,5,5,5,3,null,null,6,4,4,2,2,9,7.303370786516854,4.333333333333333,12,13,8.959156785243742,4.533333333333333,54,68
19919,Chase Edmonds,5,4,2,6,6,2,7,null,3,3,4,5,5,5,5,3,2,13.698630136986301,3.3333333333333335,7,10,12.737642585551331,4.1875,53,67
20762,Travis Fulgham,null,null,null,3,13,10,11,7,null,5,7,2,2,0,2,3,2,9.090909090909092,2.3333333333333335,5,7,12.13768115942029,5.153846153846154,38,67
18990,Jonnu Smith,7,5,8,null,7,2,4,2,2,6,6,0,null,2,5,7,2,9.722222222222221,4.666666666666667,9,14,8.724832214765101,4.333333333333333,41,65
