Rank,PlayerPlayerId,PlayerShortName,PlayerAgeExact,Targets,Receptions,ReceivingYards,ReceivingTDs,Cushion,TargetSeparation,TrueCatchRate,ContestedTargets,ContestedCatches,ContestedCatchConversionRate,YardsPerReception,YardsPerTarget,YardsPerPassRoute,Drops,DropRate
1,15048,T. Kelce,31.9,145,105,1416,11,2.65,1.63,89,23,9,39.1,13.5,9.8,2.62,1,0.7
2,16964,D. Waller,29,146,107,1195,9,1.91,1.64,91.5,26,15,57.7,11.2,8.2,2.37,4,2.7
3,16656,L. Thomas,30.2,110,72,670,6,2.04,1.4,80.9,21,7,33.3,9.3,6.1,1.16,6,5.5
4,19491,R. Tonyan,27.3,59,52,586,11,2.12,2.64,98.1,4,3,75,11.3,9.9,1.79,0,0
5,20805,T. Hockenson,24.1,101,67,723,6,2.04,1.61,80.7,4,1,25,10.8,7.2,1.6,11,10.9
6,19803,M. Andrews,26,89,58,701,7,1.72,1.69,84.1,26,17,65.4,12.1,7.9,2.12,3,3.4
7,19853,M. Gesicki,25.9,85,53,703,6,2.52,1.05,85.5,25,15,60,13.3,8.3,1.6,3,3.5
8,10974,R. Gronkowski,32.3,77,45,623,7,0.66,1.32,86.5,15,10,66.7,13.8,8.1,1.73,1,1.3
9,19843,H. Hurst,28,87,56,571,6,1.79,1.65,87.5,17,6,35.3,10.2,6.6,1.12,5,5.7
10,20753,N. Fant,23.8,93,62,673,3,1.25,2.01,87.3,14,3,21.4,10.9,7.2,1.76,4,4.3
11,19920,D. Schultz,25.1,89,63,615,4,2.06,1.49,94,11,6,54.5,9.8,6.9,1.16,4,4.5
12,17975,H. Henry,26.7,92,60,613,4,2.09,1.09,88.2,18,10,55.6,10.2,6.7,1.33,5,5.4
13,11488,J. Graham,34.8,76,50,456,8,1.88,1.16,90.9,17,6,35.3,9.1,6,1.21,3,3.9
14,18912,E. Engram,27,109,63,654,1,1.9,1.61,75,24,4,16.7,10.4,6,1.34,10,9.2
15,18990,J. Smith,26,65,41,448,8,1.89,1.75,80.4,15,4,26.7,10.9,6.9,1.63,2,3.1
16,16451,E. Ebron,28.4,91,56,558,5,1.08,1.23,84.8,20,7,35,10,6.1,1.26,5,5.5
17,8534,J. Cook,34.4,60,37,504,7,2.52,1.28,86,14,9,64.3,13.6,8.4,1.64,3,5
18,18032,T. Higbee,28.6,60,44,522,5,1.77,1.67,84.6,4,2,50,11.9,8.7,1.65,3,5
19,19063,G. Kittle,27.9,63,48,634,2,1.68,1.57,85.7,10,8,80,13.2,10.1,2.94,6,9.5
20,19863,D. Goedert,26.6,65,46,524,3,1.69,1.45,92,15,5,33.3,11.4,8.1,1.75,0,0
21,17963,A. Hooper,26.8,70,46,435,4,1.56,1.66,85.2,15,8,53.3,9.5,6.2,1.5,3,4.3
22,19659,D. Arnold,26.5,45,31,438,4,2.08,1.64,88.6,7,3,42.9,14.1,9.7,1.58,3,6.7
23,18935,G. Everett,27.2,61,41,417,1,1.71,2,93.2,5,5,100,10.2,6.8,1.59,5,8.2
24,19296,A. Firkser,26.5,53,39,387,1,2.5,1.32,81.2,13,10,76.9,9.9,7.3,1.82,2,3.8
25,19903,J. Akins,29.4,49,37,403,1,1.55,1.68,84.1,8,4,50,10.9,8.2,1.48,2,4.1
26,14918,T. Eifert,31,60,36,349,2,2.03,1.12,87.8,14,3,21.4,9.7,5.8,1,0,0
27,18900,M. Alie-Cox,27.9,38,31,394,2,1.28,1.57,93.9,6,4,66.7,12.7,10.4,2.26,1,2.6
28,20931,D. Sample,25.4,53,40,349,1,1.24,1.52,88.9,10,5,50,8.7,6.6,0.86,3,5.7
29,14856,Z. Ertz,30.8,72,36,335,1,2.19,1.03,85.7,12,5,41.7,9.3,4.7,0.92,5,6.9
30,19947,C. Herndon,25.5,46,31,287,3,1.34,1.92,81.6,7,3,42.9,9.3,6.2,1.08,4,8.7
