Rank,PlayerPlayerId,PlayerShortName,Targets,Receptions,ReceivingYards,ReceivingTDs,HogRate,SnapShare,AverageTargetDistance,AirYards,AirYardsPerGame,AirYardsPerReception,Targets,RedZoneTargets,EndzoneTargets,TargetAccuracy,TargetShare,FantasyPointsPerTarget
1,16470,D. Adams,149,115,1374,18,20.1,87.3,8.8,1308,93.4,11.4,149,27,11,8.17,34.1,2.41
2,18082,T. Hill,134,87,1276,15,15.7,86.8,13,1746,116.4,20.1,134,18,13,7.13,23.1,2.45
3,16906,S. Diggs,168,127,1535,8,18.6,89.7,10.2,1716,107.2,13.5,168,16,10,7.54,29.2,1.96
4,14986,D. Hopkins,160,115,1407,6,16.2,93.7,8.8,1403,87.7,12.2,160,18,10,7.56,29.4,1.8
5,19802,C. Ridley,143,90,1374,9,17.8,82.8,14.4,2063,137.5,22.9,143,22,17,7.38,25.1,1.95
6,20875,D. Metcalf,129,83,1303,10,13.7,96.7,13.8,1783,111.4,21.5,129,16,14,7.56,24,2.1
7,21685,J. Jefferson,125,88,1400,7,14.7,86.4,11.9,1490,93.1,16.9,125,12,8,7.6,25.7,2.16
8,16830,T. Lockett,132,100,1054,10,14.6,92.8,9.7,1286,80.4,12.9,132,16,14,7.88,24.6,2.01
9,16263,A. Robinson II,151,102,1250,6,17,88.3,9.9,1490,93.1,14.6,151,19,14,6.9,25.4,1.74
10,15534,A. Thielen,108,74,925,14,12.2,96.7,12,1291,86.1,17.4,108,20,20,7.69,24.4,2.33
11,16597,M. Evans,109,70,989,13,13.5,81.2,12.2,1324,82.8,18.9,109,19,16,7.06,18,2.27
12,15076,K. Allen,147,100,992,8,17.8,85,7.4,1082,77.3,10.8,147,17,11,7.41,26.8,1.65
13,14871,R. Woods,130,90,935,6,13.5,90.6,7.1,923,57.7,10.3,130,11,5,7.1,23,1.87
14,21042,A. Brown,106,70,1073,11,14.6,82.7,10.7,1130,80.7,16.1,106,13,5,7.08,25.8,2.28
15,16765,A. Cooper,130,92,1114,5,13.9,87.2,8.7,1136,71,12.3,130,16,11,7.29,21.1,1.81
16,18883,J. Smith-Schuster,128,97,831,9,14.8,84.1,5.8,735.5,46,7.6,128,19,9,7.52,19.6,1.81
17,16568,B. Cooks,119,81,1143,6,15.4,92.8,11.4,1354,90.3,16.7,119,11,8,7.48,23.8,1.94
18,13870,M. Jones Jr.,115,76,978,9,13,93.2,12.2,1398,87.4,18.4,115,14,11,7.33,20.5,1.98
19,20873,T. McLaurin,134,87,1118,4,14.6,98.1,9.8,1318,87.9,15.1,134,13,6,7.24,25.5,1.67
20,21077,D. Johnson,144,88,924,7,20.7,71.9,8.2,1177,78.5,13.4,144,11,6,7.1,22.9,1.54
21,18187,R. Anderson,138,95,1088,3,17.8,80.8,9.6,1328,83,14,138,15,6,8.03,26.1,1.6
22,21752,C. Claypool,109,62,859,9,17,62.5,13.3,1448,90.5,23.4,109,13,10,7.16,16.7,1.96
23,19844,D. Moore,118,66,1193,4,14.7,89.6,13.4,1575,105,23.9,118,9,9,6.89,24.1,1.79
24,18928,C. Samuel,97,77,844,3,15.2,70.9,7.2,694,46.3,9,97,12,1,7.81,19.3,2.18
25,21679,C. Lamb,109,74,935,5,14.9,68.6,9.1,988,61.8,13.4,109,11,6,7.39,17.7,1.92
26,18882,C. Kupp,125,92,969,3,15.6,80.7,6.6,819,54.6,8.9,125,13,3,7.26,23.7,1.67
27,14141,C. Beasley,107,82,967,4,17.1,66.3,7.9,849,56.6,10.4,107,10,4,7.48,19.9,1.94
28,21690,T. Higgins,107,67,908,6,14.3,80.8,11.8,1262,84.1,18.8,107,11,7,7.97,20.2,1.82
29,17986,T. Boyd,110,79,841,4,15.4,77.4,8.9,977,65.1,12.4,110,16,4,7.75,20.9,1.75
30,18879,C. Davis,92,65,984,5,13.3,78.7,11.9,1092,78,16.8,92,8,8,7.28,23.1,2.08
31,18880,C. Godwin,84,65,840,7,13.1,86.5,10.3,866,72.2,13.3,84,9,5,7.83,18.9,2.27
32,17916,W. Fuller V,75,53,879,8,13.6,90.8,13.1,980,89.1,18.5,75,8,6,7.3,21.4,2.52
33,16020,J. Landry,101,72,837,3,15.3,71.6,8,804,53.6,11.2,101,16,9,6.66,24.2,1.86
34,16781,N. Agholor,82,48,896,8,11.7,69.3,15.5,1273,79.6,26.5,82,13,11,7.1,15.7,2.26
35,21747,B. Aiyuk,97,60,748,5,13.8,91.5,9,876,73,14.6,97,14,5,6.88,23.2,1.9
36,21045,M. Brown,99,58,769,8,12.6,81.6,13.1,1298,81.1,22.4,99,11,11,6.82,25.2,1.85
37,20006,R. Gage,110,72,786,4,15.2,69.7,8.6,948,59.2,13.2,110,17,8,7.34,18.2,1.65
38,19867,M. Gallup,106,59,843,5,10.8,91.4,11.8,1248,78,21.2,106,14,10,6.37,17.2,1.63
39,16866,J. Crowder,89,59,699,6,15.5,83.8,7.4,658,54.8,11.2,89,10,4,7.08,25,1.93
40,16775,D. Parker,103,63,793,4,15,80,10.5,1076,76.9,17.1,103,14,14,7.48,21.1,1.61
41,11063,E. Sanders,82,61,726,5,16.6,56.3,7.8,641,45.8,10.5,82,13,6,6.04,19,2.01
42,14005,T. Hilton,93,56,762,5,14.3,68.8,12.5,1166,77.7,20.8,93,10,7,7.5,18.8,1.74
43,19207,T. Patrick,79,51,742,6,10.9,76.9,12.4,983,65.5,19.3,79,10,3,6.36,16,2.04
44,17961,S. Shepard,90,66,656,3,17,75.1,8.5,761,63.4,11.5,90,11,4,7.08,23.3,1.78
45,21697,L. Shenault Jr.,79,58,600,5,14.2,66.1,6.6,518,37,8.9,79,10,5,7.18,15.3,1.99
46,21692,J. Jeudy,113,52,856,3,14.2,79.8,13.6,1536,96,29.5,113,8,8,6.06,21.2,1.38
47,18914,M. Williams,85,48,756,5,11.2,78.2,14.8,1255,89.6,26.1,85,11,11,6.94,15.7,1.81
48,19816,D. Chark Jr.,94,53,706,5,13.8,88.1,13.8,1300,100,24.5,94,12,7,6.54,20,1.63
49,21961,D. Mooney,98,61,631,4,12.7,76.4,11.8,1157,72.3,19,98,10,8,7.09,16.5,1.53
50,19514,K. Cole,86,55,642,5,11.4,79.4,11.1,954,59.6,17.3,86,10,5,7.12,14.7,1.74
51,19815,C. Kirk,79,48,621,6,10.6,78.7,12,948,67.7,19.8,79,14,7,6.8,16.3,1.85
52,13291,J. Jones,68,51,771,3,14.8,76.5,11.3,767,85.2,15,68,10,6,7.24,20,2.15
