Rank,PlayerID,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGamePPR,FantasyPointsPPR
1,18890,Patrick Mahomes,KC,QB,17,5253.3,40.7,8,313.3,2.4,0,0,0,0,0,0,0,23.3,396.86
2,19801,Josh Allen,BUF,QB,17,4650.2,34,12.3,482.2,7.2,0,0,0,0,0,0,0,22.4,380.63
3,18877,Christian McCaffrey,CAR,RB,17,0,0,0,1194.3,11,89,740.8,4,0,0,0,0,21.6,367.51
4,20889,Kyler Murray,ARI,QB,17,4278.4,26.9,12.8,727.8,7.6,0,0,0,0,0,0,0,21.4,363.52
5,19781,Lamar Jackson,BAL,QB,17,3438.4,26.3,10.3,984.8,6.5,0,0,0,0,0,0,0,20.7,352.22
6,18055,Dak Prescott,DAL,QB,17,4943,31.2,11.3,305.8,3.9,0,0,0,0,0,0,0,20.4,346.9
7,2593,Aaron Rodgers,GB,QB,17,4610.2,37.5,6.5,161.2,2.1,0,0,0,0,0,0,0,20.2,344.13
8,14536,Russell Wilson,SEA,QB,17,4501.2,34,11.3,424.5,2.1,0,0,0,0,0,0,0,20.1,341.3
9,21681,Justin Herbert,LAC,QB,17,4666.1,32.7,11.2,265.2,4,0,0,0,0,0,0,0,20,339.56
10,16470,Davante Adams,GB,WR,17,0,0,0,0,0,115.9,1398.1,13.7,0,0,0,0,19.8,336.31
11,4314,Tom Brady,TB,QB,17,4799,37.2,12.6,20.5,1.8,0,0,0,0,0,0,0,19,323.41
12,18872,Dalvin Cook,MIN,RB,17,0,0,0,1384.2,12.3,54.4,468,2.3,0,0,0,0,18.9,321.82
13,21831,Jalen Hurts,PHI,QB,17,4067.4,23.5,15.7,701.8,5.3,0,0,0,0,0,0,0,18.7,317.68
14,13799,Ryan Tannehill,TEN,QB,17,4138.4,31.6,9.6,250.6,4.1,0,0,0,0,0,0,0,18.6,316.4
15,9038,Matthew Stafford,LAR,QB,17,4958.9,29.9,11.9,134.1,0.9,0,0,0,0,0,0,0,18,306.37
16,18082,Tyreek Hill,KC,WR,17,0,0,0,99.6,1.2,91.9,1359.5,10.3,0,0,0,0,18,305.41
17,18878,Alvin Kamara,NO,RB,17,0,0,0,881.4,9,77.1,692.9,3,0,0,0,0,17.8,303.13
18,15048,Travis Kelce,KC,TE,17,0,0,0,0.3,0,105.7,1344.2,10.2,0,0,0,0,17.6,299.95
19,21693,Joe Burrow,CIN,QB,17,4499.2,26.5,9.7,241.8,2.9,0,0,0,0,0,0,0,17.6,299.75
20,14986,DeAndre Hopkins,ARI,WR,17,0,0,0,2.1,0,115.2,1404.4,7.4,0,0,0,0,17.5,297.85
21,17959,Derrick Henry,TEN,RB,17,0,0,0,1621,13.6,23.2,170.5,2,0,0,0,0,17.1,290.75
22,16906,Stefon Diggs,BUF,WR,17,0,0,0,8.4,0,112.2,1386.8,6.2,0,0,0,0,16.9,287.12
23,19802,Calvin Ridley,ATL,WR,17,0,0,0,13.1,0,98.7,1428.4,7.2,0,0,0,0,16.7,284.65
24,20875,DK Metcalf,SEA,WR,17,0,0,0,1.1,0,88.3,1385.6,9.7,0,0,0,0,16.7,283.17
