Rank,PlayerPlayerId,PlayerShortName,PlayerAgeExact,Carries,RushingYards,YardsPerCarry,RushingTouchdowns,Targets,Receptions,ReceivingYards,ReceivingTDs,SnapShare,OpportunityShare,ShotgunCarryRate,ShotgunYardsPerCarry,UnderCenterCarryRate,UnderCenterYardsPerCarry,AverageDefendersInTheBox,StackedFrontCarryRate,BaseFrontCarryRate,LightFrontCarryRate
1,21682,J. Taylor,23.6,332,1811,5.45,18,53,40,360,2,68.56,70.77,37.65,1,62.34,1,6.07,13.25,28.31,57.83
2,19562,A. Ekeler,27.3,206,911,4.42,12,94,70,647,8,67.1,67.41,34.46,1,65.53,1,6.65,19.9,37.37,41.74
3,21768,N. Harris,24.5,307,1200,3.9,7,94,74,467,3,84.45,86.42,52.44,1,46.57,1,6.52,16.93,29.64,50.81
4,18858,J. Mixon,26.1,292,1205,4.12,13,48,42,314,3,67.57,74.88,25.34,1,74.65,1,6.69,17.8,34.93,47.26
5,18983,J. Conner,27.3,202,752,3.72,15,39,37,375,3,57.93,58.92,84.65,1,15.34,1,6.29,12.87,21.78,64.35
6,18803,L. Fournette,27.6,180,811,4.5,8,84,69,454,2,64.74,67,23.33,1,76.66,1,6.15,12.77,25,62.22
7,17923,E. Elliott,27.1,237,1002,4.22,10,65,47,287,2,65.88,57.74,28.69,1,71.3,1,6.78,24.05,35.86,38.81
8,18878,A. Kamara,27.1,240,898,3.74,4,67,47,439,5,67.83,78.51,20,1,80,1,6.59,15.83,35.83,47.5
9,15150,C. Patterson,31.5,153,618,4.03,6,68,52,548,5,48.13,48.57,14.37,1,84.96,1,6.99,32.02,40.52,26.14
10,21861,A. Gibson,24.2,258,1037,4.01,7,52,42,294,3,56.28,62.62,59.68,1,40.31,1,6.1,5.42,32.55,62.01
11,19045,A. Jones,27.8,171,799,4.67,4,65,52,391,6,58.5,52.67,39.76,1,60.23,1,6.14,3.5,32.74,63.15
12,20824,J. Jacobs,24.6,217,872,4.01,9,64,54,348,0,63.41,68.53,32.71,1,67.28,1,6.38,13.36,25.8,60.82
13,19798,N. Chubb,26.7,228,1259,5.52,8,25,20,174,1,51.71,58.29,15.35,1,84.64,1,6.98,28.07,44.73,25.87
14,20790,D. Harris,25.6,202,929,4.59,15,20,18,132,0,42.88,48.68,13.36,1,86.63,1,6.05,7.92,28.71,61.38
15,21684,D. Swift,23.6,151,617,4.08,5,78,62,452,2,67.21,56.96,38.41,1,61.58,1,6.53,13.24,36.42,50.33
16,18872,D. Cook,27.1,249,1159,4.65,6,49,34,224,0,70.49,79.67,18.07,1,81.92,1,6.87,20.88,46.18,32.53
17,22558,J. Williams,22.4,203,903,4.44,4,53,43,316,3,49.9,50.49,29.55,1,70.44,1,5.64,5.91,23.64,68.96
18,20941,D. Singletary,25,188,870,4.62,7,50,40,228,1,60.33,59.35,45.74,1,54.25,1,6.09,3.19,26.06,70.74
19,20500,D. Williams,27.4,144,558,3.87,6,57,47,452,2,47.52,46.2,62.5,1,37.5,1,6.15,4.16,25.69,69.44
20,20882,D. Montgomery,25.2,225,849,3.77,7,51,42,301,0,74.84,80,40,1,59.55,1,6.36,11.11,28.88,59.11
21,16776,M. Gordon III,29.4,203,919,4.52,8,39,28,213,2,52.03,51.48,25.61,1,74.38,1,5.78,5.91,24.13,68.47
22,17959,D. Henry,28.7,219,937,4.27,10,20,18,154,0,70.92,85.66,12.78,1,87.21,1,6.43,24.2,31.5,42.92
23,21802,A. Dillon,24.3,187,803,4.29,5,37,34,313,2,42.55,45.07,40.64,1,59.35,1,6.31,9.62,32.08,57.75
24,21970,J. Robinson,24.1,164,767,4.67,8,46,31,222,0,58.1,66.45,41.46,1,59.14,1,5.96,7.31,28.04,61.58
25,20768,M. Gaskin,25.6,173,612,3.53,3,63,49,234,4,50.86,50.64,75.72,1,24.27,1,5.34,6.93,15.6,77.45
26,22535,E. Mitchell,24.3,207,963,4.65,5,20,19,137,1,64.23,80.78,25.6,1,74.39,1,6.72,13.04,56.03,29.95
27,20798,D. Henderson Jr.,25,149,688,4.61,5,40,29,176,3,65.73,60.19,34.22,1,65.77,1,5.73,7.38,23.48,67.78
28,20912,T. Pollard,25.3,130,719,5.53,2,46,39,337,0,33.66,38.85,24.61,1,74.61,1,6.48,16.15,36.15,44.61
29,22553,M. Carter,23.3,147,639,4.34,4,55,36,325,0,51.58,53.72,49.65,1,50.34,1,6.67,13.6,42.17,44.21
30,19766,S. Barkley,25.6,162,593,3.66,2,57,41,263,2,61,62.93,50,1,50,1,6.82,24.69,33.95,41.35
31,16524,D. Freeman,30.5,133,576,4.33,5,42,34,190,1,44.3,47.81,96.24,1,3.75,1,5.93,7.51,22.55,69.92
32,19828,S. Michel,27.5,208,845,4.06,4,33,21,128,1,48.47,53.91,21.15,1,78.84,1,6.19,13.46,28.36,57.69
33,17970,D. Booker,30.3,145,593,4.08,2,45,40,268,1,49.79,45.02,44.13,1,55.86,1,6.57,17.93,28.27,53.1
34,19919,C. Edmonds,26.4,116,592,5.1,2,53,43,311,0,56.8,51.36,86.2,1,13.79,1,6.22,6.89,24.13,68.96
35,16887,M. Davis,29.5,138,503,3.64,3,58,44,259,1,54.94,41.26,20.28,1,79.71,1,6.65,20.28,35.5,42.75
36,21691,C. Hubbard,23.2,172,612,3.55,5,36,25,174,1,39.63,43.69,37.79,1,62.79,1,6.71,15.69,36.62,48.25
37,18464,J. McKissic,29.1,48,212,4.41,2,53,43,397,2,45.22,28.85,70.83,1,29.16,1,5.91,0,27.08,70.83
38,18877,C. McCaffrey,26.2,99,442,4.46,1,41,37,343,1,59.03,64.51,37.37,1,62.62,1,6.88,20.2,50.5,28.28
39,20868,A. Mattison,24.2,134,491,3.66,3,39,32,228,1,35.42,37.12,20.89,1,79.1,1,6.8,23.13,38.8,38.05
40,13741,B. Bolden,32.6,44,226,5.13,1,49,41,405,2,29.64,18.12,45.45,1,54.54,1,6.02,13.63,22.72,63.63
41,22562,K. Gainwell,23.5,68,291,4.27,5,50,33,253,1,27.97,25.54,63.23,1,36.76,1,5.98,5.88,23.52,70.58
42,19799,R. Penny,26.6,119,749,6.29,6,8,6,48,0,43.1,48.84,39.49,1,60.5,1,6.45,8.4,32.77,58.82
43,18995,J. Williams,27.4,153,601,3.92,3,28,26,157,0,37.68,46.29,23.52,1,77.12,1,6.79,15.03,50.32,34.64
44,21769,C. Edwards-Helaire,23.4,119,517,4.34,4,23,19,129,2,51.01,57.02,69.74,1,30.25,1,6.01,5.04,20.16,72.26
45,20933,M. Sanders,25.3,137,754,5.5,0,34,26,158,0,52.16,50.59,60.58,1,39.41,1,6.31,8.02,27.73,64.23
46,20837,T. Johnson,25,61,238,3.9,2,55,34,372,2,37.38,26.66,57.37,1,42.62,1,6.4,14.75,27.86,57.37
47,22546,R. Stevenson,24.5,133,605,4.54,5,18,14,123,0,33.24,38.91,11.27,1,88.72,1,6.23,14.28,24.81,60.9
48,19912,N. Hines,25.8,56,276,4.92,2,57,40,310,1,31.33,20.77,58.92,1,41.07,1,6.05,8.92,23.21,67.85
49,13337,M. Ingram II,32.7,160,554,3.46,2,35,27,162,0,42.05,51.45,37.5,1,62.5,1,5.84,14.37,29.37,47.5
50,14917,R. Burkhead,32.2,122,427,3.5,3,32,25,186,0,36.96,34.07,38.52,1,61.47,1,5.9,6.55,18.85,74.59
51,15071,L. Murray,32.6,119,501,4.21,6,13,10,75,0,38.34,40.12,78.99,1,21,1,6.37,14.28,37.81,47.05
52,18957,D. Foreman,26.4,133,566,4.25,3,11,9,123,0,38.89,46.9,13.53,1,85.71,1,6.63,14.28,48.12,36.84
53,16815,A. Abdullah,29.2,51,166,3.25,0,53,38,289,1,27.92,21.18,52.94,1,47.05,1,6.21,3.92,21.56,74.5
