Rank,PlayerID,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,RushShare,TargetSnapPercentage,TargetShare,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsPPR,FantasyPointSnapPercentagePPR
1,20790,Damien Harris,NE,RB,15,406,27.1,36.7,49.8,41.31,5.2,4.00763358778626,54.2,54.9,210.1,51.7
2,19799,Rashaad Penny,SEA,RB,10,253,25.3,31.4,47,28.81,3.2,1.6877637130801688,49.4,50.2,121.7,48.1
3,21682,Jonathan Taylor,IND,RB,17,768,45.2,68.9,43.2,66.53,6.6,10.179640718562874,48.4,49.9,373.1,48.6
4,17959,Derrick Henry,TEN,RB,8,411,51.4,71.1,53.3,39.75,4.9,3.838771593090211,57.9,58.4,193.3,47
5,19798,Nick Chubb,CLE,RB,14,482,34.4,43.5,47.3,47.01,5.2,5.01002004008016,51.5,52.5,215.3,44.7
6,18067,Jordan Howard,PHI,RB,7,153,21.9,22.8,56.2,15.64,3.3,1.0729613733905579,57.5,59.5,62.5,40.8
7,15150,Cordarrelle Patterson,ATL,RB,16,473,29.6,45,32.3,38.93,14.6,12.432432432432432,43.6,47.1,234.6,49.6
8,22546,Rhamondre Stevenson,NE,RB,12,265,22.1,24,50.2,27.2,6.8,3.435114503816794,55.5,57,114.9,43.4
9,18944,Kareem Hunt,CLE,RB,8,234,29.2,29.4,33.3,16.08,11.5,5.410821643286573,42.7,44.9,110,47
10,19562,Austin Ekeler,LAC,RB,16,731,45.7,61.1,28.2,48.7,12.9,14.285714285714286,37.8,41,343.8,47
11,16838,Duke Johnson,MIA,RB,5,149,29.8,44.1,47.7,16.06,3.4,0.8361204013377926,50.3,51,59.1,39.7
12,18983,James Conner,ARI,RB,15,598,39.9,51,33.8,40.73,6.5,6.830122591943958,40,40.3,257.7,43.1
12,18957,D'Onta Foreman,TEN,RB,9,230,25.6,38,57.8,24.14,4.8,2.111324376199616,61.7,62.6,93.9,40.8
14,22493,Trey Lance,SF,QB,6,178,29.7,16.3,21.3,7.62,0,0,61.2,61.2,64.92,36.5
15,6489,Josh Johnson,BAL,QB,4,128,32,25.7,7,1.74,0,0,73.4,73.4,46.32,36.2
16,611,Joe Flacco,NYJ,QB,2,66,33,5.6,3,0.53,0,0,66.7,66.7,23.82,36.1
17,18858,Joe Mixon,CIN,RB,16,698,43.6,63.5,41.8,66.97,6.9,8.88888888888889,47.9,48.7,287.9,41.2
18,19801,Josh Allen,BUF,QB,17,1161,68.3,96.9,10.5,26.46,0,0,66.1,66.1,402.58,34.7
19,13320,Cam Newton,CAR,QB,8,252,31.5,48.1,18.7,10.33,0,0,68.7,68.7,86.36,34.3
20,19119,Chris Carson,SEA,RB,4,124,31,44,43.5,13.08,4.8,1.2658227848101267,48.4,48.4,48.1,38.8
21,2593,Aaron Rodgers,GB,QB,16,983,61.4,88.1,3.4,7.4,0.1,0.1757469244288225,57.5,57.5,333.3,33.9
22,18877,Christian McCaffrey,CAR,RB,7,272,38.9,40.6,36.4,21.76,15.1,7.130434782608695,50,51.5,127.5,46.9
23,22535,Elijah Mitchell,SF,RB,11,441,40.1,40.4,46.9,41.48,4.5,4.032258064516129,51.2,51.5,165,37.4
24,4314,Tom Brady,TB,QB,17,1139,67,96.3,2.5,7.27,0,0,65.6,65.6,374.74,32.9
25,21831,Jalen Hurts,PHI,QB,15,954,63.6,85.2,14.6,25.27,0.1,0.2145922746781116,59.9,60,312.16,32.7
26,16776,Melvin Gordon III,DEN,RB,16,514,32.1,47.5,39.5,44.62,7.4,7.364341085271318,44.9,46.9,195.1,38
27,21681,Justin Herbert,LAC,QB,17,1191,70.1,99.6,5.3,14.89,0,0,61.7,61.7,380.76,32
27,20889,Kyler Murray,ARI,QB,14,939,67.1,80.1,9.4,17.74,0,0,60.6,60.6,300.48,32
29,21802,AJ Dillon,GB,RB,17,476,28,42.7,39.3,41.93,7.8,6.502636203866432,46.4,47.1,185.6,39
30,20932,Deebo Samuel,SF,WR,16,829,51.8,76,7.1,11.82,14.6,24.39516129032258,16.6,22,338.96,40.9
