Rank,PlayerID,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGamePPR,FantasyPointsPPR
1,21685,Justin Jefferson,MIN,WR,17,0,0,0,0,0,36,628,7,0,0,0,0,8.3,140.8
2,19801,Josh Allen,BUF,QB,17,1001,14,6,269,3,0,0,0,0,0,0,0,7.3,124.94
3,4314,Tom Brady,TB,QB,17,1209,18,3,42,0,0,0,0,0,0,0,0,6.6,112.56
4,21681,Justin Herbert,LAC,QB,17,1357,13,5,149,0,0,0,0,0,0,0,0,6.5,111.18
5,20889,Kyler Murray,ARI,QB,14,1065,11,2,119,2,0,0,0,0,0,0,0,7.6,106.5
6,16568,Brandin Cooks,HOU,WR,16,0,0,0,0,0,29,459,5,0,0,0,0,6.6,104.9
7,14252,Kirk Cousins,MIN,QB,16,1289,13,3,20,0,0,0,0,0,0,0,0,6.1,97.56
8,18890,Patrick Mahomes,KC,QB,17,1278,13,9,111,0,0,0,0,0,0,0,0,5.7,96.22
9,2593,Aaron Rodgers,GB,QB,16,1039,12,2,32,1,0,0,0,0,0,0,0,5.9,94.76
10,16597,Mike Evans,TB,WR,16,0,0,0,0,0,21,312,7,0,0,0,0,5.9,94.2
11,18082,Tyreek Hill,KC,WR,17,0,0,0,0,0,31,448,3,0,0,0,0,5.5,93.8
12,18882,Cooper Kupp,LAR,WR,17,0,0,0,-5,0,31,506,2,0,0,0,0,5.5,93.1
13,17920,Carson Wentz,IND,QB,17,1036,10,1,66,1,0,0,0,0,0,0,0,5.4,92.04
14,9038,Matthew Stafford,LAR,QB,17,1362,12,7,25,0,0,0,0,0,0,0,0,5.4,90.98
15,21077,Diontae Johnson,PIT,WR,16,0,0,0,0,0,32,409,3,0,0,0,0,5.7,90.9
16,16470,Davante Adams,GB,WR,16,0,0,0,0,0,31,404,3,0,0,0,0,5.6,89.4
17,18055,Dak Prescott,DAL,QB,16,1036,12,2,43,0,0,0,0,0,0,0,0,5.5,87.74
18,22564,Ja'Marr Chase,CIN,WR,17,0,0,0,-2,0,24,452,3,0,0,0,0,5.1,87
19,15076,Keenan Allen,LAC,WR,16,0,0,0,0,0,31,414,2,0,0,0,0,5.3,84.4
20,20924,Hunter Renfrow,LV,WR,17,0,0,0,0,0,33,333,3,0,0,0,0,4.8,82.3
21,16906,Stefon Diggs,BUF,WR,17,0,0,0,0,0,23,277,5,0,0,0,0,4.7,80.7
22,21693,Joe Burrow,CIN,QB,16,1335,8,5,64,0,0,0,0,0,0,0,0,5,79.8
23,13799,Ryan Tannehill,TEN,QB,17,1148,7,10,85,3,0,0,0,0,0,0,0,4.6,78.42
24,22598,Jaylen Waddle,MIA,WR,16,0,0,0,0,0,32,277,3,0,0,0,0,4.9,77.7
25,21831,Jalen Hurts,PHI,QB,15,768,5,3,223,2,0,0,0,0,0,0,0,5.1,77.02
26,3807,Ben Roethlisberger,PIT,QB,16,1183,8,4,7,1,0,0,0,0,0,0,0,4.8,76.02
27,21744,Michael Pittman Jr.,IND,WR,17,0,0,0,0,0,25,376,2,0,0,0,0,4.4,74.6
28,15048,Travis Kelce,KC,TE,16,0,0,0,0,0,22,276,4,0,0,0,0,4.6,73.6
29,14536,Russell Wilson,SEA,QB,14,800,8,3,82,1,0,0,0,0,0,0,0,5.2,72.2
30,22587,Amon-Ra St. Brown,DET,WR,17,0,0,0,50,1,25,234,2,0,0,0,0,4.2,71.4
31,21750,Marquez Callaway,NO,WR,17,0,0,0,0,0,17,260,4,0,0,0,0,3.9,67
32,732,Matt Ryan,ATL,QB,17,1101,8,3,27,0,0,0,0,0,0,0,0,3.9,66.74
33,16311,Derek Carr,LV,QB,17,1253,7,6,38,0,0,0,0,0,0,0,0,3.9,65.92
34,19844,DJ Moore,CAR,WR,17,0,0,0,14,0,24,331,1,0,0,0,0,3.8,64.5
35,20013,Cedrick Wilson Jr.,DAL,WR,16,0,0,0,0,0,16,293,3,0,0,0,0,4,63.3
36,16497,Teddy Bridgewater,DEN,QB,14,792,6,2,53,1,0,0,0,0,0,0,0,4.5,62.98
37,18914,Mike Williams,LAC,WR,16,0,0,0,0,0,15,299,3,0,0,0,0,3.9,62.9
38,21768,Najee Harris,PIT,RB,17,0,0,0,83,1,21,154,2,0,0,0,0,3.7,62.7
39,16041,Jimmy Garoppolo,SF,QB,15,991,6,4,29,1,0,0,0,0,0,0,0,4.2,62.54
40,22496,Mac Jones,NE,QB,17,949,8,5,44,0,0,0,0,0,0,0,0,3.7,62.36
41,13741,Brandon Bolden,NE,RB,17,0,0,0,72,1,18,191,2,0,0,0,0,3.7,62.3
42,19815,Christian Kirk,ARI,WR,17,0,0,0,0,0,15,232,4,0,0,0,0,3.7,62.2
43,12845,A.J. Green,ARI,WR,16,0,0,0,0,0,15,410,1,0,0,0,0,3.9,62
43,20932,Deebo Samuel,SF,WR,16,0,0,0,29,1,18,331,1,0,0,0,0,3.9,62
45,16830,Tyler Lockett,SEA,WR,16,0,0,0,0,0,13,305,3,0,0,0,0,3.8,61.5
45,17986,Tyler Boyd,CIN,WR,16,0,0,0,0,0,22,275,2,0,0,0,0,3.8,61.5
47,20875,DK Metcalf,SEA,WR,17,0,0,0,0,0,19,300,2,0,0,0,0,3.6,61
48,21752,Chase Claypool,PIT,WR,15,0,0,0,2,0,21,304,1,0,0,0,0,3.8,57.6
49,21679,CeeDee Lamb,DAL,WR,16,0,0,0,12,0,16,222,3,0,0,0,0,3.6,57.4
50,22558,Javonte Williams,DEN,RB,17,0,0,0,155,1,13,107,2,0,0,0,0,3.4,57.2
51,18880,Chris Godwin,TB,WR,14,0,0,0,2,1,21,190,2,0,0,0,0,4,56.2
52,22490,Trevor Lawrence,JAX,QB,17,870,3,3,109,1,0,0,0,0,0,0,0,3.3,55.7
53,17923,Ezekiel Elliott,DAL,RB,17,0,0,0,115,3,11,87,1,0,0,0,0,3.2,55.2
54,21747,Brandon Aiyuk,SF,WR,17,0,0,0,0,0,14,226,3,0,0,0,0,3.2,54.6
54,15534,Adam Thielen,MIN,WR,13,0,0,0,0,0,19,176,3,0,0,0,0,4.2,54.6
56,21684,D'Andre Swift,DET,RB,13,0,0,0,154,1,14,129,1,0,0,0,0,4.2,54.3
57,20876,Jakobi Meyers,NE,WR,17,15,0,0,0,0,24,294,0,0,0,0,0,3.2,54
58,10974,Rob Gronkowski,TB,TE,12,0,0,0,0,0,11,187,4,0,0,0,0,4.5,53.7
58,21957,Quez Watkins,PHI,WR,17,0,0,0,0,0,16,317,1,0,0,0,0,3.2,53.7
60,21687,DeVonta Smith,PHI,WR,17,0,0,0,0,0,16,216,3,0,0,1,0,3.2,53.6
60,19803,Mark Andrews,BAL,TE,17,0,0,0,0,0,19,286,1,0,0,0,0,3.2,53.6
62,21739,Van Jefferson,LAR,WR,17,0,0,0,0,0,12,233,3,0,0,0,0,3.1,53.3
63,21042,A.J. Brown,TEN,WR,13,0,0,0,7,0,22,240,1,0,0,0,0,4.1,52.7
64,22507,Pat Freiermuth,PIT,TE,16,0,0,0,0,0,24,166,2,0,0,0,0,3.3,52.6
65,21677,Tua Tagovailoa,MIA,QB,13,629,7,4,74,0,0,0,0,0,0,0,0,4,52.56
66,17975,Hunter Henry,NE,TE,17,0,0,0,0,0,15,135,4,0,0,0,0,3.1,52.5
67,16762,Jameis Winston,NO,QB,7,310,7,1,80,1,0,0,0,0,0,0,0,7.5,52.4
68,20006,Russell Gage,ATL,WR,14,0,0,0,0,0,23,273,1,0,0,0,0,3.7,52.3
69,21045,Marquise Brown,BAL,WR,16,0,0,0,5,0,22,197,2,0,0,0,0,3.3,52.2
70,13870,Marvin Jones Jr.,JAX,WR,17,0,0,0,0,0,16,228,2,0,0,0,0,3,50.8
71,21682,Jonathan Taylor,IND,RB,17,0,0,0,117,2,9,115,1,0,0,0,0,3,50.2
72,14986,DeAndre Hopkins,ARI,WR,10,0,0,0,0,0,11,150,4,0,0,0,0,5,50
73,17179,Taylor Heinicke,WAS,QB,16,759,6,6,67,0,0,0,0,0,0,0,0,3.1,49.06
74,22495,Zach Wilson,NYJ,QB,13,531,3,3,95,2,0,0,0,0,0,0,0,3.7,48.74
75,19781,Lamar Jackson,BAL,QB,12,562,5,6,140,1,0,0,0,0,0,0,0,4,48.48
76,19318,Kendrick Bourne,NE,WR,17,0,0,0,0,0,13,237,2,0,0,0,0,2.7,46.7
77,21714,K.J. Osborn,MIN,WR,17,0,0,0,0,0,19,210,1,0,0,0,0,2.7,46
78,12831,Tyrod Taylor,HOU,QB,6,469,3,2,72,2,0,0,0,0,0,0,0,7.7,45.96
79,18032,Tyler Higbee,LAR,TE,15,0,0,0,0,0,14,139,3,0,0,0,0,3.1,45.9
80,15150,Cordarrelle Patterson,ATL,RB,16,0,0,0,12,0,12,146,3,0,0,0,0,2.9,45.8
81,8534,Jared Cook,LAC,TE,16,0,0,0,0,0,13,147,3,0,0,0,0,2.9,45.7
