Rank,PlayerID,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGamePPR,FantasyPointsPPR
1,18882,Cooper Kupp,LAR,WR,17,0,0,0,18,0,145,1947,16,0,0,0,0,25.9,439.5
2,19801,Josh Allen,BUF,QB,17,4407,36,15,763,6,0,0,0,0,0,0,0,23.7,402.58
3,21681,Justin Herbert,LAC,QB,17,5014,38,15,302,3,0,0,0,0,0,0,0,22.4,380.76
4,4314,Tom Brady,TB,QB,17,5316,43,12,81,2,0,0,0,0,0,0,0,22,374.74
5,21682,Jonathan Taylor,IND,RB,17,0,0,0,1811,18,40,360,2,0,0,0,0,21.9,373.1
6,18890,Patrick Mahomes,KC,QB,17,4839,37,13,381,2,0,0,0,0,0,0,0,21.3,361.66
7,16470,Davante Adams,GB,WR,16,0,0,0,0,0,123,1553,11,0,0,0,0,21.5,344.3
8,19562,Austin Ekeler,LAC,RB,16,0,0,0,911,12,70,647,8,0,0,0,0,21.5,343.8
9,20932,Deebo Samuel,SF,WR,16,24,1,0,365,8,77,1405,6,0,0,0,0,21.2,338.96
10,2593,Aaron Rodgers,GB,QB,16,4115,37,4,101,3,1,-4,0,0,0,0,0,20.8,333.3
11,21685,Justin Jefferson,MIN,WR,17,35,0,0,14,0,108,1616,10,0,0,0,0,19.4,330.4
12,9038,Matthew Stafford,LAR,QB,17,4886,41,17,43,0,0,0,0,0,0,0,0,19.4,329.74
13,18055,Dak Prescott,DAL,QB,16,4449,37,10,146,1,0,0,0,0,0,0,0,20,320.56
14,21693,Joe Burrow,CIN,QB,16,4611,34,14,118,2,0,0,0,0,0,0,0,19.6,314.24
15,21831,Jalen Hurts,PHI,QB,15,3144,16,9,784,10,0,0,0,0,0,0,0,20.8,312.16
16,22564,Ja'Marr Chase,CIN,WR,17,0,0,0,21,0,81,1455,13,0,0,0,0,17.9,304.6
17,19803,Mark Andrews,BAL,TE,17,0,0,0,0,0,107,1361,9,0,0,0,0,17.7,301.1
18,21768,Najee Harris,PIT,RB,17,0,0,0,1200,7,74,467,3,0,0,0,0,17.7,300.7
19,20889,Kyler Murray,ARI,QB,14,3787,24,10,423,5,0,7,0,0,0,0,0,21.5,300.48
20,14252,Kirk Cousins,MIN,QB,16,4221,33,7,115,1,0,0,0,0,0,0,0,18.8,300.34
21,18082,Tyreek Hill,KC,WR,17,0,0,0,96,0,111,1239,9,0,0,0,0,17.4,296.5
22,18858,Joe Mixon,CIN,RB,16,0,0,0,1205,13,42,314,3,0,0,0,0,18,287.9
23,16906,Stefon Diggs,BUF,WR,17,0,0,0,0,0,103,1225,10,0,0,0,0,16.8,285.5
24,21077,Diontae Johnson,PIT,WR,16,0,0,0,53,0,107,1161,8,0,0,0,0,17.2,274.4
25,13799,Ryan Tannehill,TEN,QB,17,3734,21,14,270,7,0,0,0,0,0,0,0,15.8,268.36
26,15048,Travis Kelce,KC,TE,16,0,0,0,3,1,92,1125,9,0,0,0,0,16.4,262.8
27,16597,Mike Evans,TB,WR,16,0,0,0,10,0,74,1035,14,0,0,0,0,16.4,262.5
28,20924,Hunter Renfrow,LV,WR,17,0,0,0,3,0,103,1038,9,0,0,0,0,15.2,259.1
29,17920,Carson Wentz,IND,QB,17,3563,27,7,215,1,0,0,0,0,0,0,0,15.2,258.02
30,15076,Keenan Allen,LAC,WR,16,0,0,0,0,0,106,1138,6,0,0,0,0,16.1,257.8
31,18983,James Conner,ARI,RB,15,0,0,0,752,15,37,375,3,0,0,0,0,17.2,257.7
32,16311,Derek Carr,LV,QB,17,4804,23,14,108,0,0,0,0,0,0,0,0,15.1,256.96
33,18803,Leonard Fournette,TB,RB,14,0,0,0,812,8,69,454,2,0,0,0,0,18.3,255.6
34,17923,Ezekiel Elliott,DAL,RB,17,4,0,0,1002,10,47,287,2,0,0,0,0,14.8,252.06
35,18914,Mike Williams,LAC,WR,16,0,0,0,0,0,76,1146,9,0,0,0,0,15.4,246.6
36,22598,Jaylen Waddle,MIA,WR,16,0,0,0,3,1,104,1015,6,0,0,0,0,15.4,245.8
37,20875,DK Metcalf,SEA,WR,17,0,0,0,6,0,75,967,12,0,0,0,0,14.4,244.3
38,14536,Russell Wilson,SEA,QB,14,3113,25,6,183,2,0,0,0,0,0,0,0,17.3,242.82
39,18880,Chris Godwin,TB,WR,14,0,0,0,21,1,98,1103,5,0,0,0,0,17.3,242.4
40,16830,Tyler Lockett,SEA,WR,16,0,0,0,9,0,73,1175,8,0,0,0,0,15.1,241.4
41,19781,Lamar Jackson,BAL,QB,12,2882,16,13,767,2,0,0,0,0,0,0,0,20,239.98
42,21744,Michael Pittman Jr.,IND,WR,17,0,0,0,44,0,88,1082,6,0,0,0,0,14,238.6
43,19844,DJ Moore,CAR,WR,17,0,0,0,48,0,93,1157,4,0,0,0,0,14,237.5
44,18878,Alvin Kamara,NO,RB,13,0,0,0,898,4,47,439,5,0,0,0,0,18.1,234.7
45,15150,Cordarrelle Patterson,ATL,RB,16,0,0,0,618,6,52,548,5,0,0,0,0,14.7,234.6
46,21679,CeeDee Lamb,DAL,WR,16,0,0,0,76,0,79,1102,6,0,0,0,0,14.6,232.8
47,16568,Brandin Cooks,HOU,WR,16,0,0,0,21,0,90,1037,6,0,0,0,0,14.5,231.8
48,21861,Antonio Gibson,WAS,RB,16,0,0,0,1037,7,42,294,3,0,0,0,0,14.3,229.1
49,19045,Aaron Jones,GB,RB,15,0,0,0,799,4,52,391,6,0,0,0,0,15.3,229
50,16041,Jimmy Garoppolo,SF,QB,15,3810,20,12,51,3,0,0,0,0,0,0,0,15.2,227.5
51,22587,Amon-Ra St. Brown,DET,WR,17,0,0,0,61,1,90,912,5,0,0,0,0,13.4,227.3
52,21045,Marquise Brown,BAL,WR,16,0,0,0,5,0,91,1008,6,0,0,0,0,14.1,226.3
53,20824,Josh Jacobs,LV,RB,15,0,0,0,872,9,54,348,0,0,0,0,0,15.1,226
54,22496,Mac Jones,NE,QB,17,3801,22,13,129,0,0,0,0,0,0,0,0,13.2,224.94
55,732,Matt Ryan,ATL,QB,17,3968,20,12,82,1,0,0,0,0,0,0,0,13.1,222.92
56,17179,Taylor Heinicke,WAS,QB,16,3419,20,15,313,1,1,-2,0,0,0,0,0,13.9,222.86
57,21961,Darnell Mooney,CHI,WR,17,0,0,0,32,1,81,1055,4,0,0,0,0,12.9,219.7
58,21690,Tee Higgins,CIN,WR,14,0,0,0,0,0,74,1091,6,0,0,0,0,15.6,219.1
59,3807,Ben Roethlisberger,PIT,QB,16,3740,22,10,5,1,0,0,0,0,0,0,0,13.6,218.1
60,19798,Nick Chubb,CLE,RB,14,0,0,0,1259,8,20,174,1,0,0,0,0,15.4,215.3
61,20873,Terry McLaurin,WAS,WR,17,0,0,0,12,0,77,1053,5,0,0,0,0,12.6,213.5
62,20790,Damien Harris,NE,RB,15,0,0,0,929,15,18,132,0,0,0,0,0,14,210.1
63,21684,D'Andre Swift,DET,RB,13,0,0,0,617,5,62,452,2,0,0,0,0,16.1,208.9
64,19920,Dalton Schultz,DAL,TE,17,0,0,0,0,0,78,808,8,0,0,0,0,12.3,208.8
65,19815,Christian Kirk,ARI,WR,17,33,0,0,11,0,77,982,5,0,0,0,0,12.2,207.62
66,18872,Dalvin Cook,MIN,RB,13,0,0,0,1159,6,34,224,0,0,0,0,0,15.9,206.3
67,22558,Javonte Williams,DEN,RB,17,0,0,0,903,4,43,316,3,0,0,0,0,12.1,204.9
68,18916,T.J. Watt,PIT,LB,15,0,0,0,0,0,0,0,0,22.5,0,5,3,13.6,203.25
69,16497,Teddy Bridgewater,DEN,QB,14,3052,18,7,106,2,0,0,0,0,0,0,0,14.5,202.68
70,16765,Amari Cooper,DAL,WR,15,0,0,0,0,0,68,865,8,0,0,0,0,13.5,202.5
71,15534,Adam Thielen,MIN,WR,13,0,0,0,2,0,67,726,10,0,0,0,0,15.4,199.8
72,22490,Trevor Lawrence,JAX,QB,17,3641,12,17,334,2,0,0,0,0,0,0,0,11.7,199.04
73,19063,George Kittle,SF,TE,14,0,0,0,20,0,71,910,6,0,0,0,0,14.1,198
74,20941,Devin Singletary,BUF,RB,17,0,0,0,870,7,40,228,1,0,0,0,0,11.6,197.8
75,20500,Darrel Williams,KC,RB,17,0,0,0,558,6,47,452,2,0,0,0,0,11.5,196
76,16776,Melvin Gordon III,DEN,RB,16,0,0,0,918,8,28,213,2,0,0,0,0,12.2,195.1
77,20882,David Montgomery,CHI,RB,13,0,0,1,849,7,42,301,0,0,0,0,0,15,195
