PlayerID,PlayerName,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,TargetShareL3,TargetsPerGameLast3,ReceptionsLast3,TotalTargetsLast3,TargetShare,TargetsPerGame,TotalReceptions,TotalTargets
18882,Cooper Kupp,10,11,12,13,10,12,13,9,13,13,null,10,10,15,13,13,7,7,25.96153846153846,9,23,27,31.727574750830566,11.235294117647058,145,191
16470,Davante Adams,7,9,18,11,16,5,7,null,14,11,8,9,null,13,7,13,14,7,30.63063063063063,11.333333333333334,27,34,29.701230228471,10.5625,123,169
21077,Diontae Johnson,10,12,null,13,2,13,null,13,6,13,13,14,11,10,5,9,15,10,25.757575757575758,11.333333333333334,21,34,25.880551301684534,10.5625,107,169
21685,Justin Jefferson,9,10,11,7,8,14,null,4,5,11,10,9,14,15,10,12,11,7,32.608695652173914,10,19,30,28.942807625649912,9.823529411764707,108,167
16906,Stefon Diggs,14,8,10,11,5,11,null,7,8,13,6,9,7,13,7,13,9,14,32.432432432432435,12,21,36,26.484751203852326,9.705882352941176,103,165
19844,DJ Moore,8,11,12,12,7,13,10,8,7,7,7,10,null,10,11,12,8,10,27.522935779816514,10,15,30,28.347826086956523,9.588235294117647,93,163
18082,Tyreek Hill,15,4,7,12,13,12,9,18,11,10,11,null,5,4,13,2,10,3,14.285714285714286,5,9,15,25,9.352941176470589,111,159
15076,Keenan Allen,13,8,12,11,9,5,null,11,13,11,13,10,8,null,10,6,9,8,17.96875,7.666666666666667,14,23,23.86018237082067,9.8125,106,157
19803,Mark Andrews,5,5,7,8,13,6,7,null,10,8,10,10,9,11,13,10,6,15,31.31313131313131,10.333333333333334,22,31,25.844594594594593,9,107,153
21045,Marquise Brown,6,10,7,5,10,5,14,null,12,13,null,10,7,8,14,9,8,8,25.252525252525253,8.333333333333334,11,25,24.66216216216216,9.125,91,146
22598,Jaylen Waddle,6,8,13,4,6,13,8,11,10,6,9,10,11,null,null,12,7,7,30.58823529411765,8.666666666666666,18,26,23.578595317725753,8.8125,104,141
21961,Darnell Mooney,7,8,4,7,5,8,5,9,6,null,16,8,7,5,7,9,13,16,33.333333333333336,12.666666666666666,24,38,26.717557251908396,8.235294117647058,81,140
16568,Brandin Cooks,7,14,11,7,5,13,7,6,14,null,3,5,6,11,10,null,11,4,16.853932584269664,7.5,10,15,25.621414913957935,8.375,90,134
15048,Travis Kelce,7,8,11,6,10,11,12,6,8,10,8,null,8,4,13,null,7,5,11.428571428571429,6,9,12,21.069182389937108,8.375,92,134
