Rank,PlayerID,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPositionPPR
1,21682,Jonathan Taylor,IND,14,23,RB,RB1,1.3,1.3,1.2,1.1,1.3,1.4
2,18877,Christian McCaffrey,CAR,13,26,RB,RB2,2,2,2,2,9.1,2.5
3,19562,Austin Ekeler,LAC,8,27,RB,RB3,3.7,4.1,4.7,3.2,4.7,2.9
4,17959,Derrick Henry,TEN,6,28,RB,RB4,4.1,4.1,4,1.7,4.3,4.3
5,21685,Justin Jefferson,MIN,7,23,WR,WR1,3.9,4.9,5.2,3.9,9.9,4.6
6,18882,Cooper Kupp,LAR,7,29,WR,WR2,5.6,5.4,4,3.1,5.7,5.9
7,21768,Najee Harris,PIT,9,24,RB,RB5,6.4,6.9,6.9,4,6.9,7.1
8,18872,Dalvin Cook,MIN,7,27,RB,RB6,7.3,7.8,7.9,2.3,7.9,7.4
9,22564,Ja'Marr Chase,CIN,10,22,WR,WR3,7.9,8.6,8.5,7.9,13.1,8.8
10,18858,Joe Mixon,CIN,10,26,RB,RB7,9.9,10.2,10.1,2.2,26.8,10
11,18878,Alvin Kamara,NO,14,27,RB,RB8,12,16.1,18,8.6,18.7,11.2
12,16470,Davante Adams,LV,6,29,WR,WR4,11.7,11.7,11.3,10.2,12,12.3
13,21684,D'Andre Swift,DET,6,23,RB,RB9,10.1,11.6,11.6,10.1,19.3,12.9
14,16906,Stefon Diggs,BUF,7,28,WR,WR5,13.8,13.3,13.3,13.1,18.6,13.8
15,19045,Aaron Jones,GB,14,27,RB,RB10,15.1,15.3,15.4,15.1,27.4,15
16,19766,Saquon Barkley,NYG,9,25,RB,RB11,16.4,18.1,18.8,16.4,39.6,15.4
17,15048,Travis Kelce,KC,8,32,TE,TE1,15.1,15.3,14.9,12.5,15.4,16.1
18,21679,CeeDee Lamb,DAL,9,23,WR,WR6,16.2,16.6,16.1,15.3,23.6,17.9
